Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,APN(s),Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
2011-015,(3) Design with Entitlements Approved,1296 Shotwell,1296,Shotwell,St,94110,1294 SHOTWELL ST 94110,6571051,9,Mission,Mission,MOHCD,Multifamily,New Construction,Rental,12/01/2017,,,12/01/2019,Chinatown Community Development Center,Mission Economic Development Agency,"1296 Shotwell Housing, LP",201608195545,2015-018056PRJ,http://propertymap.sfplanning.org/?search=2015-018056PRJ,"2015-018056AHB,2015-018056ENV,2015-018056PPA",,,,,94,93,1,99%,0,24,69,0,0,0,0,0,1,2bd,0,74,0,19,0,0,19,0,0,74,0,0,0,0,0,37.748587522054301,-122.415203445427,"(37.7485875220543, -122.415203445427)"
2012-001,(5) First Construction Document Issued,Alice Griffith Phase 1 (Block 2),2600,Arelious Walker,Dr,94124,Not Applicable,8804001,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,New Construction,Rental,03/02/2015,,,11/01/2016,McCormack Baron Salazar,,"Alice Griffith Phase 1, LP",201506249789,Not Applicable,,,,,,,93,93,0,100%,0,0,23,51,7,12,0,0,1,1bd,93,0,0,0,0,0,0,93,0,0,0,0,0,0,0,37.7190871356092,-122.38531676452099,"(37.7190871356092, -122.385316764521)"
2012-002,(5) First Construction Document Issued,Alice Griffith Phase 2 (Block 4),2700,Arelious Walker,Dr,94124,Not Applicable,8811001,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,New Construction,Rental,03/02/2015,,,12/01/2016,McCormack Baron Salazar,,"Alice Griffith Phase 2, LP",201401166475,Not Applicable,,,,,,,91,91,0,100%,0,0,23,47,9,12,0,0,1,1bd,91,0,0,0,0,0,0,91,0,0,0,0,0,0,0,37.7183375824427,-122.385991022007,"(37.7183375824427, -122.385991022007)"
2012-003,(5) First Construction Document Issued,Alice Griffith Phase 3A-3B  (Block 1),2500,Arelious Walker,Dr,94124,Not Applicable,8803001,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,New Construction,Rental,02/29/2016,,,11/30/2017,McCormack Baron Salazar,,"Alice Griffith Phase 3A, LP, Alice Griffith Phase 3B, LP",201501236565,Not Applicable,,,,,,,122,122,0,100%,0,0,13,71,35,3,0,0,1,1bd,122,0,0,0,0,0,0,122,0,0,0,0,0,0,0,37.719645207186403,-122.384830980768,"(37.7196452071864, -122.384830980768)"
2012-004,(3) Design with Entitlements Approved,Alice Griffith Phase 4 (Block 5),2800,Arelious Walker,Dr,94124,Not Applicable,8812001,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,New Construction,Rental,05/01/2017,,,08/01/2018,McCormack Baron Salazar,,"Double Rock Ventures, LLC",,Not Applicable,,,,,,,31,31,0,100%,0,0,12,6,0,10,3,0,0,,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,37.717916096951299,-122.38642687290501,"(37.7179160969513, -122.386426872905)"
2012-005,(2) Predevelopment Feasibility,"Alice Griffith Phase 5 (Blocks 8, 9, 14)",,Address not yet assigned,,94124,Not Applicable,Not yet available,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,New Construction,Rental,01/01/2019,,,09/01/2020,McCormack Baron Salazar,,Entity to be formed,,Not Applicable,,,,,,,36,36,0,100%,0,0,0,0,0,30,6,0,0,,36,0,0,0,0,0,0,0,0,0,36,0,0,0,0,37.718764237908097,-122.387736789065,"(37.7187642379081, -122.387736789065)"
2012-006,(2) Predevelopment Feasibility,Alice Griffith Phase 6 (Block 9),,Address not yet assigned,,94124,Not Applicable,Not yet available,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,New Construction,Rental,05/01/2019,,,12/01/2020,McCormack Baron Salazar,,Entity to be formed,,Not Applicable,,,,,,,132,131,1,99%,0,0,131,0,0,0,0,0,1,,0,131,0,0,0,0,0,0,0,131,0,0,0,0,0,37.718812800914101,-122.386750481104,"(37.7188128009141, -122.386750481104)"
2012-008,(3) Design with Entitlements Approved,1150 16th  (AKA 1208 8th),1150,16th,St,94107, ,3821008,10,South of Market,Mission Bay,MOHCD,Inclusionary,New Construction,Ownership,,,,,Sergio Nibbi,,,,2004.1004,http://propertymap.sfplanning.org/?search=2004.1004,"2004.1004C,2004.1004E,2004.1004E_3,2004.1004K,2004.1004S",04/12/2012,On-site BMR Project ,2012-J401437,04/25/2012,15,2,13,13%,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37.7666654448796,-122.39897446803,"(37.7666654448796, -122.39897446803)"
2012-009,(6) Complete,"Pacific Pointe (HPSY I, Block 49)",350,Friedell,St,94106,Not Applicable,4591C103,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,New Construction,Rental,,08/21/2014,11/20/2014,07/01/2016,Amcal,Young Community Developers,"Amcal Pacific Point Fund, LP",201312275134,Not Applicable,,,,,,,60,59,1,98%,0,0,27,20,12,0,0,0,1,2bd,59,0,0,0,0,0,0,59,0,0,0,0,0,0,0,37.727754996271997,-122.3707621471,"(37.727754996272, -122.3707621471)"
2012-010,(5) First Construction Document Issued,Transbay Block 9,500,Folsom,St,94105,Not Applicable,3736120,6,Financial District,Financial District/South Beach,OCII,Inclusionary-OCII,New Construction,Rental,,,,,Essex/TMG,BRIDGE Housing Corporation,,,Not Applicable,,,,,,,545,109,436,20%,0,34,61,14,0,0,0,0,0,,109,0,0,0,0,0,0,109,0,0,0,0,0,0,0,37.7872035562348,-122.395106768879,"(37.7872035562348, -122.395106768879)"
2012-011,(5) First Construction Document Issued,307 Octavia,307,Octavia,Blvd,94102,"307 OCTAVIA ST, SAN FRANCISCO, CA 94102",0831023,5,Western Addition,Hayes Valley,MOHCD,Inclusionary,New Construction,Rental,,04/05/2013,07/17/2013,01/08/2015,"Avalon Bay Communities, Inc.",,,201210051462,2011.0744,http://propertymap.sfplanning.org/?search=2011.0744,"2011.0744C,2011.0744E,2011.0744E_3,2011.0744E_5,2011.0744K,2011.0744Q,2011.0744U",06/28/2012,Fee Payment ,2012-J499361,09/07/2012,182,0,182,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.774962107711701,-122.42511956337,"(37.7749621077117, -122.42511956337)"
2012-012,(3) Design with Entitlements Approved,376 Castro ,376,Castro,St,94114,"376 CASTRO ST, SAN FRANCISCO, CA 94114",2623006,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary,New Construction,Ownership,,,,,376 castro Street LLC,,,201305177243,2004.0976,http://propertymap.sfplanning.org/?search=2004.0976,"2004.0976C,2004.0976E,2004.0976E_3,2004.0976K,2004.0976V",08/02/2012,On-site BMR Project ,2013-J633680,04/08/2013,24,3,21,13%,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,37.762921251384903,-122.435500090551,"(37.7629212513849, -122.435500090551)"
2012-013,(5) First Construction Document Issued,55 Laguna ,218-220,Buchanan,St,94102,"218 BUCHANAN ST, SAN FRANCISCO, CA 94102",002007-0857 (5 lots),8,Western Addition,Hayes Valley,MOHCD,Inclusionary,New Construction,Rental,,08/02/2013,10/28/2013,04/21/2015,"Alta Laguna, LLC",,,"201209059006, 201306270646, 201409196757, 201512175390, 201607142295, 201608185330, 201608185339, 201608185340, 201608185341, 201608185342, 201608185344, 201608185345, 201608185346, 201608185347, 201608185349, 201608185350, 201608185351, 201608185352, 201608185353, 201608185354, 201608185360, 201608185361, 201608185362, 201608185363, 201608185364, 201608185365, 201608185368, 201608185369, 201608185371, 201608185372, 201608185373, 2015412175383",2012.0033,http://propertymap.sfplanning.org/?search=2012.0033,"2012.0033A,2012.0033A_3,2012.0033C,2012.0033E,2012.0033F,2012.0033R,2012.0033S,2012.0033U,2012.0033U_3,2014-000029GPR",08/16/2012,On-site BMR Project ,2013-J601456,02/11/2013,330,50,280,15%,0,0,0,0,0,0,0,0,0,,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,37.771697127304101,-122.42614664137,"(37.7716971273041, -122.42614664137)"
2012-014,(5) First Construction Document Issued,1050 Valencia ,1050-1058,Valencia,St,94110,"1050 VALENCIA ST, SAN FRANCISCO, CA 94110",3617008,8,Mission,Mission,MOHCD,Inclusionary,New Construction,Ownership,,,02/12/2015,02/01/2017,Shizvo Holdings Trust,,,"201012277436, 201012277437",2012.0723,http://propertymap.sfplanning.org/?search=2012.0723,2012.0723D,09/06/2012,Fee Payment ,2014-J948560,09/11/2014,12,0,12,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.755943989474297,-122.42131765144001,"(37.7559439894743, -122.42131765144)"
2012-015,(6) Complete,5800 Third  - Building 3 ,5800,3rd,St,94124,"0 03RD ST, #2001, SAN FRANCISCO, CA 94124",5415002,10,Bayview,Bayview Hunters Point,MOHCD,Inclusionary,New Construction,Ownership,,,12/15/2014,06/07/2016,Third Street Equity Partners ,,,200509284138,2012.0045,http://propertymap.sfplanning.org/?search=2012.0045,"2012.0045C,2012.0045E,2012.0045E_3,2012.0045K,2012.0045PPA,2012.0045R,2012.0045U,2012.0045U_3",10/25/2012,On-site BMR Project ,,,150,23,127,15%,0,0,0,0,0,0,0,0,0,,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,37.725577895205497,-122.395623904733,"(37.7255778952055, -122.395623904733)"
2012-016,(5) First Construction Document Issued,41 Tehama,41,Tehama,St,94105,"57 TEHAMA ST, SAN FRANCISCO, CA 94105",3736189,6,Financial District,Financial District/South Beach,MOHCD,Inclusionary,New Construction,Ownership,,,11/13/2015,05/06/2017,Fritzi Realty,,,,2008.0801,http://propertymap.sfplanning.org/?search=2008.0801,"2008.0801E,2008.0801E_3,2008.0801K,2008.0801S,2008.0801V,2008.0801X",11/29/2012,On-site BMR Project ,2016-K244112,05/13/2016,325,49,276,15%,0,0,0,0,0,0,0,0,0,,49,0,0,0,0,0,0,0,0,0,0,60,0,0,0,37.787225285098103,-122.396308483862,"(37.7872252850981, -122.396308483862)"
2012-018,(5) First Construction Document Issued,Transbay Block 7,222,Beale,St,94105,Not Applicable,3738018,6,Financial District,Financial District/South Beach,OCII,Transbay,New Construction,Rental,06/15/2016,,,08/15/2018,Mercy Housing California,,"Mercy Housing California 64, LP",201406249199,Not Applicable,,,,,,,120,119,1,99%,0,0,54,42,23,0,0,0,1,2bd,119,0,0,0,0,0,0,50,0,69,0,0,0,0,0,37.788892583411801,-122.39382170461,"(37.7888925834118, -122.39382170461)"
2012-019,(5) First Construction Document Issued,Potrero - Block X,1101,Connecticut,St,94107,1101 CONNECTICUT ST 94107,4287007,10,Potrero Hill,Bayview Hunters Point,MOHCD,HOPE SF,New Construction,Rental,10/01/2016,10/11/2016,,03/01/2018,BRIDGE Housing Corporation,,"Potrero Housing Associates I, LP",201603172392,2016-003623PRJ,http://propertymap.sfplanning.org/?search=2016-003623PRJ,2016-003623PRL,,,,,72,71,1,99%,0,2,10,50,9,0,0,8,1,2bd,71,0,0,0,0,0,0,62,0,9,0,0,0,0,0,37.7520170644665,-122.395965760411,"(37.7520170644665, -122.395965760411)"
2012-020,(3) Design with Entitlements Approved,Parcel O,455,Fell,St,94102,0 UNKNOWN 94102,0831024,5,Western Addition,Hayes Valley,MOHCD,Multifamily,New Construction,Rental,05/01/2017,11/17/2016,,09/01/2018,Mercy Housing California,San Francisco Housing Development Corporation,455 Fell LP,201605066751,2015-002837PRJ,http://propertymap.sfplanning.org/?search=2015-002837PRJ,"2015-001364PPA,2015-002837CUA,2015-002837ENV,2015-002837SHD",01/07/2016,,,,108,107,1,99%,0,1,58,40,8,0,0,12,1,2bd,74,0,0,33,0,0,33,21,0,53,0,0,0,0,0,37.775355925321399,-122.425374344449,"(37.7753559253214, -122.425374344449)"
2012-021,(5) First Construction Document Issued,L Seven,1222,Harrison,St,94103,"350 08TH ST, SAN FRANCISCO, CA 94103",3756003,6,South of Market,South of Market,MOHCD,Inclusionary,New Construction,Rental,,03/20/2014,09/30/2014,03/23/2016,Fairfield Residential,,,201307303137,2007.1035,http://propertymap.sfplanning.org/?search=2007.1035,"2007.1035C,2007.1035E,2007.1035E_3,2007.1035E_5,2007.1035K,2007.1035Q,2007.1035S,2007.1035U",12/06/2012,On-site BMR Project ,2016-K230908,04/15/2016,410,62,348,15%,0,0,0,0,0,0,0,0,0,,62,0,0,0,0,0,0,0,62,0,0,0,0,0,0,37.773694401173501,-122.409666875905,"(37.7736944011735, -122.409666875905)"
2012-022,(5) First Construction Document Issued,181 Fremont,181,Fremont,St,94107,"177 FREMONT ST, SAN FRANCISCO, CA 94105",0308001,6,Downtown/Civic Center,Financial District/South Beach,MOHCD,Inclusionary,New Construction,Ownership,,12/26/2013,01/24/2014,07/18/2015,181 Fremont LLC,,,,2007.0456,http://propertymap.sfplanning.org/?search=2007.0456,"2007.0456B,2007.0456E,2007.0456E_3,2007.0456E_5,2007.0456K,2007.0456V,2007.0456X,2007.0456X_3",12/06/2012,Fee Payment ,2013-J646462,04/26/2013,74,0,74,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788147744598902,-122.406046301492,"(37.7881477445989, -122.406046301492)"
2013-001,(5) First Construction Document Issued,2895 San Bruno ,2895,San Bruno,Ave,94134,"2895 SAN BRUNO AV, SAN FRANCISCO, CA 94134",5457037,9,Excelsior,Portola,MOHCD,Inclusionary,New Construction,Ownership,,08/19/2013,08/14/2014,02/05/2016,,,,"201209270758, 201209270763, 201209270764, 201209270765, 201209270766",2010.0627,http://propertymap.sfplanning.org/?search=2010.0627,"2010.0627C,2010.0627E",01/17/2013,On-site BMR Project ,2013-J601775,02/12/2013,10,1,9,10%,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.725541147663399,-122.402448713171,"(37.7255411476634, -122.402448713171)"
2013-002,(5) First Construction Document Issued,1 Henry Adams,1,Henry Adams,,94103,"55 DIVISION ST, SAN FRANCISCO, CA 94107",3911001,10,South of Market,Mission Bay,MOHCD,Inclusionary,New Construction,Rental,,07/08/2014,01/30/2015,07/23/2016,,,,201306250394,2012.0701,http://propertymap.sfplanning.org/?search=2012.0701,"2012.0701K,2012.0701X",01/24/2013,Land Dedication ,2013-J605669,02/21/2013,239,0,239,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.769201433006103,-122.403472986631,"(37.7692014330061, -122.403472986631)"
2013-003,(5) First Construction Document Issued,801 Brannan,801,Brannan,St,94103,"800 BRANNAN ST, SAN FRANCISCO, CA 94103",3783001,6,South of Market,South of Market,MOHCD,Inclusionary,New Construction,Rental,,09/26/2014,04/20/2015,10/11/2016,"BW Brannan St, LLC",,,201309045886,2012.0700,http://propertymap.sfplanning.org/?search=2012.0700,2012.0700X,01/31/2013,On-site BMR Project ,2013-J605670,02/21/2013,432,55,377,13%,0,0,0,0,0,0,0,0,0,,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.771823860891999,-122.403882620197,"(37.771823860892, -122.403882620197)"
2013-004,(5) First Construction Document Issued,"Eviva, 360 Berry  (MBN Block N4P3)",360,Berry,St,94107,Not Applicable,8704004,6,South of Market,Mission Bay,OCII,Inclusionary-OCII,New Construction,Rental,,02/19/2015,05/20/2015,01/31/2017,Integral,,"MB N4P3, LLC",201312265046,Not Applicable,,,,,2014-J902540-00,06/30/2014,129,26,103,20%,0,0,14,11,1,0,0,0,0,,26,0,0,0,0,0,0,0,0,0,0,26,0,0,0,37.773034481705302,-122.39726332922901,"(37.7730344817053, -122.397263329229)"
2013-005,(3) Design with Entitlements Approved,1731 Powell ,1731,Powell,St,94133,"1731 POWELL ST, SAN FRANCISCO, CA 94133",0101004,3,Russian Hill,Chinatown,MOHCD,Inclusionary,New Construction,Unknown,,,,,,,,,2013.0050,http://propertymap.sfplanning.org/?search=2013.0050,"2013.0050C,2013.0050F,2013.0050T,2013.0050Z",02/14/2013,Fee Payment ,,,19,0,19,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.800682623117901,-122.411287504051,"(37.8006826231179, -122.411287504051)"
2013-006,(5) First Construction Document Issued,5400 Geary  ,5400,Geary,St,94121,"0 V, SAN FRANCISCO, CA",1450007,1,Inner Richmond,Outer Richmond,MOHCD,Inclusionary,New Construction,Ownership,,06/11/2015,03/17/2016,09/08/2017,,,,"200806275511, 200806275522",2004.0482,http://propertymap.sfplanning.org/?search=2004.0482,"2004.0482C,2004.0482E,2004.0482K",04/25/2013,On-site BMR Project ,2013-J768109,10/09/2013,43,5,38,12%,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,37.781142436988198,-122.477596543442,"(37.7811424369882, -122.477596543442)"
2013-007,(6) Complete,101 Polk ,101,Polk,St,94102,"101 POLK ST, SAN FRANCISCO, CA 94102",0811031,6,Downtown/Civic Center,Tenderloin,MOHCD,Inclusionary,New Construction,Rental,,,,,Emerald Polk LLC,,,201307051190,2011.0702,http://propertymap.sfplanning.org/?search=2011.0702,"2011.0702C,2011.0702CND,2011.0702E,2011.0702F,2011.0702K,2011.0702PPA,2011.0702U,2011.0702X,2015-004098CND",05/09/2013,On-site BMR Project ,2014-J841320,02/20/2014,162,19,143,12%,0,0,0,0,0,0,0,0,0,,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,37.777729734759802,-122.418403789747,"(37.7777297347598, -122.418403789747)"
2013-008,(4) Site Work Permit Issued,706 Mission,706,Mission,St,94103,706 MISSION ST 94103,3706093,6,Financial District,Financial District/South Beach,MOHCD,Inclusionary,New Construction,Unknown,,,,,Millenium Partners,,,201312204747,2008.1084,http://propertymap.sfplanning.org/?search=2008.1084,"13-070,2008.1084E,2008.1084E_3,2008.1084E_5,2008.1084E_7,2008.1084E_9,2008.1084H,2008.1084H_3,2008.1084K,2008.1084K_3,2008.1084MCM,2008.1084Q,2008.1084R,2008.1084S,2008.1084T,2008.1084U,2008.1084X,2008.1084X_3,2008.1084X_5,2008.1084Z",05/23/2013,Fee Payment ,2016-K250098,05/24/2016,185,0,185,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.785962235946201,-122.40321444161,"(37.7859622359462, -122.40321444161)"
2013-009,(5) First Construction Document Issued,344 Fulton,344,Fulton,St,94102,"380 FULTON ST, SAN FRANCISCO, CA 94102",0785051,5,Downtown/Civic Center,Hayes Valley,MOHCD,Inclusionary,New Construction,Ownership,,11/26/2013,06/06/2014,11/28/2015,Strada Investment Group,,,201303273113,2012.0325,http://propertymap.sfplanning.org/?search=2012.0325,"2012.0325C,2012.0325E,2012.0325E_3,2012.0325E_5,2012.0325S,2012.0325U",05/24/2013,On-site BMR Project ,,,69,8,61,12%,0,0,0,0,0,0,0,0,0,,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,37.779072026077898,-122.422879661819,"(37.7790720260779, -122.422879661819)"
2013-010,(5) First Construction Document Issued,1450 Franklin,1450,Franklin,St,94109,"1581 BUSH ST, SAN FRANCISCO, CA 94123",0671006,2,Western Addition,Western Addition,OCII,Inclusionary-OCII,New Construction,Ownership,,06/25/2009,12/12/2013,12/01/2016,Pacific Heights Franklin Partners,,,,2013.1861,http://propertymap.sfplanning.org/?search=2013.1861,2013.1861Q,,,,,67,9,58,13%,0,1,3,5,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,37.788056291654101,-122.423253072618,"(37.7880562916541, -122.423253072618)"
2013-011,(5) First Construction Document Issued,1490 Ocean ,1490,Ocean,Ave,94112,"1490 OCEAN AV, SAN FRANCISCO, CA 94112",3197010,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Inclusionary,New Construction,Unknown,,03/19/2015,07/23/2015,01/13/2017,,,,200810315636,2008.0538,http://propertymap.sfplanning.org/?search=2008.0538,"2008.0538C,2008.0538E,2008.0538K",06/06/2013,Fee Payment ,2013-J707683,07/18/2013,13,0,13,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.724532999275503,-122.4578819653,"(37.7245329992755, -122.4578819653)"
2013-012,(6) Complete,450 Hayes,450,Hayes,St,94102,"4500 HAYES ST, SAN FRANCISCO, CA 94102",0808039,5,Western Addition,Hayes Valley,MOHCD,Inclusionary,New Construction,Ownership,,,12/15/2014,06/07/2016,,,,201306260573,2012.0081,http://propertymap.sfplanning.org/?search=2012.0081,"2012.0081C,2012.0081E,2012.0081E_3,2012.0081PPA,2012.0081U,2012.0081V",07/11/2013,On-site BMR Project ,,,24,5,19,21%,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,37.777036110743403,-122.423879374441,"(37.7770361107434, -122.423879374441)"
2013-013,(5) First Construction Document Issued,468 Clementina,468,Clementina,St,94103,"465 TEHAMA ST, SAN FRANCISCO, CA 94103",3732232,6,South of Market,South of Market,MOHCD,Inclusionary,New Construction,Unknown,,,03/20/2014,09/11/2015,,,,"200507208136, 200507208144, 200507208146",2005.0424,http://propertymap.sfplanning.org/?search=2005.0424,"2005.0424E,2005.0424K,2005.0424Q,2005.0424S,2005.0424V",07/26/2013,Fee Payment ,2013-J764508,09/30/2013,13,0,13,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.779773216660203,-122.405586337117,"(37.7797732166602, -122.405586337117)"
2013-014,(4) Site Work Permit Issued,1601 Mariposa,1601,Mariposa,St,94107,"395 WISCONSIN ST, SAN FRANCISCO, CA",4005001B,10,Potrero Hill,Potrero Hill,MOHCD,Bonds Only,New Construction,Rental,02/01/2017,09/12/2016,,05/01/2019,Related California,,"Related/Mariposa Development Co, LLC","201603010904, 201603031058, 201603141952, 201603141955, 201603141956",2012.1398,http://propertymap.sfplanning.org/?search=2012.1398,"2012.1398CND,2012.1398E,2012.1398E_3,2012.1398E_5,2012.1398K,2012.1398PPA,2012.1398U,2012.1398X",,,,,316,64,252,20%,0,15,23,24,2,0,0,0,0,,64,0,0,0,0,0,0,64,0,0,0,0,0,0,0,37.763011331433901,-122.399486333468,"(37.7630113314339, -122.399486333468)"
2013-015,(6) Complete,480 Potrero,480,Potrero,Ave,94110,"480 POTRERO AV, SAN FRANCISCO, CA 94110",3973002C,10,Mission,Mission,MOHCD,Inclusionary,New Construction,Rental,,,08/01/2014,01/23/2016,Sia Consulting Corp,,,,2011.0430,http://propertymap.sfplanning.org/?search=2011.0430,"13-109,13-111,14-025,2011.0430E,2011.0430E_11,2011.0430E_13,2011.0430E_14,2011.0430E_3,2011.0430E_5,2011.0430E_6,2011.0430E_8,2011.0430E_9,2011.0430K,2011.0430PPA,2011.0430Q,2011.0430U,2011.0430X",08/08/2013,On-site BMR Project ,,,75,11,64,15%,0,0,0,0,0,0,0,0,0,,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,37.763477660324597,-122.407671364621,"(37.7634776603246, -122.407671364621)"
2013-016,(4) Site Work Permit Issued,2290 3rd ,2290,3rd,St,94107,"2290 03RD ST, SAN FRANCISCO, CA 94107",4059009,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,New Construction,Ownership,,07/29/2016,,,"2290 Dogpatch, LLC",,,,2005.0408,http://propertymap.sfplanning.org/?search=2005.0408,"2005.0408E,2005.0408E_3,2005.0408K,2005.0408X",08/08/2013,Fee Payment ,2014-J962133,10/16/2014,71,0,71,0%,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.760798249527802,-122.388901957888,"(37.7607982495278, -122.388901957888)"
2013-017,(6) Complete,72 Townsend,72,Townsend,St,94107,Not Applicable,3789A001-074 (74 lots),6,South of Market,Financial District/South Beach,OCII,Inclusionary-OCII,New Construction,Ownership,,,,,Simeon,,,,Not Applicable,,,,,67-1454987-00,,74,7,67,9%,0,0,3,4,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,37.781388090106198,-122.390352595138,"(37.7813880901062, -122.390352595138)"
2013-018,(6) Complete,1001 17th  (aka 140 Pennsylvania),1001,17th,St,94107,"1001 17TH ST, SAN FRANCISCO, CA 94107",051077-3987 (27 lots),10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,New Construction,Ownership,,08/06/2014,09/25/2014,03/18/2016,1001 17th St Assocs LLC,,,"200408040564 , 200408040566 ",2011.0187,http://propertymap.sfplanning.org/?search=2011.0187,"2011.0187CND,2011.0187E,2011.0187K,2011.0187SUB,2011.0187X",09/26/2013,On-site BMR Project ,2014-J873038,05/02/2014,37,5,32,14%,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,37.764955461878898,-122.39412471713599,"(37.7649554618789, -122.394124717136)"
2013-019,(5) First Construction Document Issued,430 Turk,430,Turk,St,94102,430 TURK ST 94102,030032-0336 (3 lots),6,Downtown/Civic Center,Tenderloin,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,11/09/2016,Tenderloin Neighborhood Development Corporation,,"430 Turk Associates, LP",201504173911,2015-005175PRJ,http://propertymap.sfplanning.org/?search=2015-005175PRJ, ,,,,,89,88,1,99%,0,69,19,0,0,0,0,5,1,2bd,0,88,0,0,0,0,0,88,0,0,0,0,0,0,0,37.782759543917599,-122.416572513853,"(37.7827595439176, -122.416572513853)"
2013-020,(5) First Construction Document Issued,939 Eddy,939,Eddy,St,94102,939 EDDY ST 94102,0744013,5,Downtown/Civic Center,Western Addition,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,12/07/2016,Tenderloin Neighborhood Development Corporation,,"939 & 951 Eddy Associates, LP",201503261963,2015-003941PRJ,http://propertymap.sfplanning.org/?search=2015-003941PRJ, ,,,,,36,36,0,100%,0,36,0,0,0,0,0,2,0,,0,36,0,0,0,0,0,36,0,0,0,0,0,0,0,37.782315909674701,-122.42311185835401,"(37.7823159096747, -122.423111858354)"
2013-021,(5) First Construction Document Issued,951 Eddy,951,Eddy,St,94102,951 EDDY ST 94102,0744012,5,Downtown/Civic Center,Western Addition,MOHCD,RAD Phase 1,Rehabilitation,Rental,11/01/2015,,,12/07/2016,Tenderloin Neighborhood Development Corporation,,"939 & 951 Eddy Associates, LP",201503261957,2015-003940PRJ,http://propertymap.sfplanning.org/?search=2015-003940PRJ, ,,,,,26,25,1,96%,0,0,1,21,3,0,0,2,1,2bd,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,37.782285990476304,-122.423346748038,"(37.7822859904763, -122.423346748038)"
